"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2442",-19066.8952193148,158203.416666667,-0.432699834620328,0.673823275191234,0.999964564224971,-4.59511985037117
"2468",-9352306.4319446,17012201.4166667,-3.0222049125303,0.0119490842195183,0.348894416003844,-4.59511984887039
"2454",-273067.402742991,603437.416666667,-3.55664438149857,0.00469181730854908,0.239595470556573,-4.59511984872067
"2458",-263370.144892855,842749.916666667,-3.05456878181732,0.0112862166951799,0.348894416003844,-4.5951198489934
"2467",-4946698.38089045,13669786.5833333,-1.20924356489401,0.25260561806817,0.909873484022211,-4.59511985001608
"2460",-194343.853082031,812535.583333333,-0.881238717200582,0.397548108733919,0.987394103177822,-4.5951198501896
"2459",-160197.674448604,443108.75,-1.13200399700986,0.28235930951905,0.909873484022211,-4.59511985006099
"2470",-260042.3157787,1121942,-1.04568768211975,0.318748932401007,0.922465937217652,-4.59511985011176
"2473",-49704.268114709,2362216.25,-0.0378804411596715,0.9704803623543,0.999964564224971,-4.59511985043261
"2466",5644.08129321061,891818.5,0.0132302824959384,0.989687479851335,0.999964564224971,-4.59511985042555
"2477",-334560.292020097,1503869.5,-1.81506746558479,0.0976071844531201,0.689595679013132,-4.59511984969718
"2478",-62567.4088711227,419195.5,-1.02142827830475,0.329586363292294,0.938524737107423,-4.5951198501253
"2480",-321256.145646771,1458252.16666667,-1.1062063713499,0.292883278490886,0.912573300049572,-4.59511985007976
"2509",5921024.76651358,21031454.6666667,1.33561243790412,0.209385703333443,0.857697586916671,-4.5951198499396
"2496",-1959152.91358665,5809577.33333333,-0.590996533132951,0.566794822678694,0.999964564224971,-4.59511985031901
"2486",-2262055.82914446,3092335.58333333,-3.22246742923276,0.00840003002988612,0.321721150144638,-4.59511984871289
"2491",-178063.734482889,866946.666666667,-1.36355024063791,0.200703148253284,0.84938459426528,-4.59511984993989
"2489",-117746.690764878,226104.833333333,-2.18888064834503,0.0517258701537539,0.622538769009549,-4.59511984948576
"2500",-1502230.08422603,2807961.16666667,-3.85847932102155,0.00279668262989151,0.164492624031511,-4.5951198484754
"2501",-960688.666666668,2593286,-0.750049270485963,0.469393483561022,0.999964564224971,-4.59511985025939
"2502",-56923.198851063,446610.666666667,-0.589444793301486,0.567797664144556,0.999964564224971,-4.59511985029645
"2506",-55700.799331751,341509.416666667,-1.02793938992817,0.326651112306715,0.933905093072305,-4.59511985012255
"2511",-17128.7163304357,376339.916666667,-0.157123934684378,0.878072181759841,0.999964564224971,-4.59511985039463
"2517",-590547.273783372,2531571.75,-1.44085883983621,0.178234920620285,0.81753262991101,-4.59511984991502
"2512",-907.693253262961,4248387.16666667,-0.000600401162962477,0.999531994407922,0.999964564224971,-4.59511985042878
"2520",-9357.94760226546,278667.166666667,-0.127875419048915,0.900618729095524,0.999964564224971,-4.59511985041794
"2522",-95164.0132906003,353448.666666667,-1.23873512074121,0.241925049411379,0.897184636001153,-4.59511984999694
"2526",-145472.418731162,289669.5,-1.62850832633278,0.132468662973586,0.780546121828976,-4.59511984976505
